COREF,start_token,end_token,prop,cat,text,COREF_head,chapter
152,29392,29392,PRON,PER,his,Dr Shirley,7
152,29404,29404,PRON,PER,his,Dr Shirley,7
933,29407,29407,PRON,PER,their,-1,7
934,29407,29408,NOM,PER,their dear,-1,7
152,29409,29410,PROP,PER,Dr Shirley,Dr Shirley,7
152,29416,29418,PROP,PER,good Dr Shirley,Dr Shirley,7
152,29426,29426,PRON,PER,he,Dr Shirley,7
122,29445,29445,PROP,PER,Louisa,Louisa,7
121,29453,29453,PROP,PER,Henrietta,Henrietta,7
152,29456,29456,PRON,PER,he,Dr Shirley,7
122,29471,29471,PROP,PER,Louisa,Louisa,7
152,29478,29478,PRON,PER,his,Dr Shirley,7
152,29484,29484,PRON,PER,he,Dr Shirley,7
152,29489,29490,PROP,PER,Dr Shirley,Dr Shirley,7
122,29492,29492,PRON,PER,she,Louisa,7
115,29501,29502,PROP,PER,Captain Wentworth,Captain Wentworth,7
121,29506,29506,PROP,PER,Henrietta,Henrietta,7
122,29535,29535,PRON,PER,I,Louisa,7
122,29542,29542,PRON,PER,I,Louisa,7
122,29545,29545,PRON,PER,you,Louisa,7
122,29550,29550,PRON,PER,I,Louisa,7
122,29553,29553,PRON,PER,you,Louisa,7
122,29561,29561,PRON,PER,me,Louisa,7
122,29567,29567,PRON,PER,you,Louisa,7
152,29570,29571,PROP,PER,Dr Shirley,Dr Shirley,7
932,29574,29575,NOM,PER,a curate,-1,7
122,29578,29578,PRON,PER,you,Louisa,7
152,29581,29581,PRON,PER,his,Dr Shirley,7
152,29585,29585,PRON,PER,he,Dr Shirley,7
122,29588,29588,PROP,PER,Louisa,Louisa,7
119,29600,29601,PROP,PER,the Musgroves,the Miss Musgroves,7
92,29605,29605,PROP,PER,Anne,Anne,7
115,29611,29612,PROP,PER,Captain Wentworth,Captain Wentworth,7
332,29615,29618,NOM,FAC,the drawing - room,-1,7
612,29620,29621,NOM,FAC,the Cottage,-1,7
92,29626,29626,PRON,PER,herself,Anne,7
937,29628,29638,NOM,PER,"the little invalid Charles , who was lying on the sofa",-1,7
94,29631,29631,PROP,PER,Charles,Charles,7
115,29644,29644,PRON,PER,himself,Captain Wentworth,7
92,29648,29649,PROP,PER,Anne Elliot,Anne,7
115,29652,29652,PRON,PER,his,Captain Wentworth,7
938,29655,29655,PRON,PER,their,-1,7
115,29659,29659,PRON,PER,he,Captain Wentworth,7
115,29668,29668,PRON,PER,I,Captain Wentworth,7
119,29670,29672,PROP,PER,the Miss Musgroves,the Miss Musgroves,7
2331,29675,29675,NOM,FAC,here,-1,7
95,29677,29678,PROP,PER,Mrs Musgrove,Charles,7
115,29680,29680,PRON,PER,me,Captain Wentworth,7
115,29681,29681,PRON,PER,I,Captain Wentworth,7
938,29684,29684,PRON,PER,them,-1,7
2331,29685,29685,NOM,FAC,here,-1,7
115,29689,29689,PRON,PER,he,Captain Wentworth,7
115,29696,29696,PRON,PER,himself,Captain Wentworth,7
115,29701,29701,PRON,PER,he,Captain Wentworth,7
938,29707,29707,PRON,PER,They,-1,7
758,29710,29710,NOM,FAC,stairs,-1,7
92,29712,29712,PRON,PER,my,Anne,7
2369,29712,29713,NOM,PER,my sister,-1,7
938,29715,29715,PRON,PER,they,-1,7
92,29724,29724,PRON,PER,I,Anne,7
92,29731,29731,PROP,PER,Anne,Anne,7
714,29745,29746,NOM,PER,the child,-1,7
92,29750,29750,PRON,PER,her,Anne,7
115,29757,29757,PRON,PER,him,Captain Wentworth,7
92,29759,29759,PRON,PER,she,Anne,7
407,29765,29766,NOM,FAC,the room,-1,7
115,29773,29774,PROP,PER,Captain Wentworth,Captain Wentworth,7
92,29778,29778,PRON,PER,herself,Anne,7
115,29780,29780,PRON,PER,He,Captain Wentworth,7
115,29794,29794,PRON,PER,I,Captain Wentworth,7
741,29796,29798,NOM,PER,the little boy,-1,8
92,29806,29806,PRON,PER,She,Anne,8
92,29821,29821,PRON,PER,her,Anne,8
941,29821,29822,NOM,PER,her patient,-1,8
942,29826,29826,PRON,PER,they,-1,8
92,29835,29835,PRON,PER,her,Anne,8
92,29840,29840,PRON,PER,she,Anne,8
943,29842,29844,NOM,PER,some other person,-1,8
944,29846,29848,NOM,FAC,the little vestibule,-1,8
92,29850,29850,PRON,PER,She,Anne,8
92,29855,29855,PRON,PER,her,Anne,8
665,29860,29864,NOM,PER,the master of the house,-1,8
311,29863,29864,NOM,FAC,the house,-1,8
94,29880,29881,PROP,PER,Charles Hayter,Charles,8
115,29893,29894,PROP,PER,Captain Wentworth,Captain Wentworth,8
115,29896,29897,PROP,PER,Captain Wentworth,Captain Wentworth,8
92,29904,29904,PROP,PER,Anne,Anne,8
92,29906,29906,PRON,PER,She,Anne,8
115,29915,29915,PRON,PER,you,Captain Wentworth,8
115,29919,29919,PRON,PER,you,Captain Wentworth,8
360,29924,29925,NOM,PER,The others,-1,8
2331,29928,29928,NOM,FAC,here,-1,8
115,29932,29933,PROP,PER,Captain Wentworth,Captain Wentworth,8
115,29939,29939,PRON,PER,his,Captain Wentworth,8
94,29951,29952,PROP,PER,Charles Hayter,Charles,8
94,29958,29958,PRON,PER,his,Charles,8
94,29962,29962,PRON,PER,himself,Charles,8
115,29974,29975,PROP,PER,Captain Wentworth,Captain Wentworth,8
115,29978,29978,PRON,PER,his,Captain Wentworth,8
947,29987,29989,NOM,PER,The younger boy,-1,8
948,29991,30001,NOM,PER,"a remarkable stout , forward child , of two years old",-1,8
947,30009,30009,PRON,PER,him,-1,8
949,30011,30013,NOM,PER,some one without,-1,8
947,30016,30016,PRON,PER,his,-1,8
950,30020,30020,PRON,PER,them,-1,8
947,30038,30038,PRON,PER,his,-1,8
947,30055,30055,PRON,PER,he,-1,8
947,30064,30064,PRON,PER,his,-1,8
806,30064,30065,NOM,PER,his aunt,-1,8
947,30069,30069,PRON,PER,him,-1,8
947,30071,30071,PRON,PER,his,-1,8
952,30071,30073,NOM,PER,his sick brother,-1,8
947,30075,30075,PRON,PER,he,-1,8
947,30079,30079,PRON,PER,himself,-1,8
806,30081,30081,PRON,PER,her,-1,8
806,30084,30084,PRON,PER,she,-1,8
806,30095,30095,PRON,PER,she,-1,8
94,30098,30098,PROP,PER,Charles,Charles,8
806,30100,30100,PRON,PER,she,-1,8
947,30104,30104,PRON,PER,him,-1,8
806,30107,30107,PRON,PER,She,-1,8
947,30110,30110,PRON,PER,him,-1,8
806,30122,30122,PRON,PER,she,-1,8
947,30127,30127,PRON,PER,him,-1,8
953,30131,30132,NOM,PER,the boy,-1,8
806,30140,30140,PRON,PER,her,-1,8
88,30146,30146,PROP,PER,Walter,Sir Walter,8
806,30150,30150,PRON,PER,she,-1,8
88,30158,30158,PRON,PER,You,Sir Walter,8
806,30163,30163,PRON,PER,I,-1,8
88,30168,30168,PRON,PER,you,Sir Walter,8
88,30172,30172,PROP,PER,Walter,Sir Walter,8
94,30176,30177,PROP,PER,Charles Hayter,Charles,8
88,30182,30182,PRON,PER,you,Sir Walter,8
88,30186,30186,PRON,PER,you,Sir Walter,8
88,30192,30192,PRON,PER,you,Sir Walter,8
88,30194,30194,PRON,PER,your,Sir Walter,8
2619,30194,30195,NOM,PER,your aunt,-1,8
94,30200,30200,PRON,PER,me,Charles,8
88,30202,30202,PROP,PER,Walter,Sir Walter,8
94,30206,30207,PROP,PER,cousin Charles,Charles,8
88,30215,30215,PROP,PER,Walter,Sir Walter,8
806,30224,30224,PRON,PER,she,-1,8
806,30226,30226,PRON,PER,herself,-1,8
88,30234,30234,PRON,PER,him,Sir Walter,8
954,30236,30237,NOM,PER,some one,-1,8
88,30240,30240,PRON,PER,him,Sir Walter,8
806,30242,30242,PRON,PER,her,-1,8
88,30245,30245,PRON,PER,he,Sir Walter,8
806,30249,30249,PRON,PER,her,-1,8
88,30255,30255,PRON,PER,his,Sir Walter,8
806,30263,30263,PRON,PER,her,-1,8
88,30267,30267,PRON,PER,he,Sir Walter,8
806,30274,30274,PRON,PER,she,-1,8
115,30277,30278,PROP,PER,Captain Wentworth,Captain Wentworth,8
806,30283,30283,PRON,PER,Her,-1,8
806,30289,30289,PRON,PER,her,-1,8
806,30293,30293,PRON,PER,She,-1,8
88,30298,30298,PRON,PER,him,Sir Walter,8
806,30300,30300,PRON,PER,She,-1,8
94,30305,30306,PROP,PER,little Charles,Charles,8
88,30313,30313,PRON,PER,His,Sir Walter,8
806,30319,30319,PRON,PER,her,-1,8
806,30346,30346,PRON,PER,her,-1,8
88,30350,30350,PRON,PER,he,Sir Walter,8
714,30355,30356,NOM,PER,the child,-1,8
88,30359,30359,PRON,PER,he,Sir Walter,8
806,30364,30364,PRON,PER,her,-1,8
806,30373,30373,PRON,PER,her,-1,8
88,30379,30379,PRON,PER,his,Sir Walter,8
806,30395,30395,PRON,PER,she,-1,8
93,30407,30407,PROP,PER,Mary,Mary,8
119,30409,30411,PROP,PER,the Miss Musgroves,the Miss Musgroves,8
806,30415,30415,PRON,PER,her,-1,8
956,30415,30417,NOM,PER,her little patient,-1,8
957,30419,30419,PRON,PER,their,-1,8
407,30424,30425,NOM,FAC,the room,-1,8
806,30427,30427,PRON,PER,She,-1,8
959,30445,30446,NOM,PER,the four,-1,8
959,30448,30448,PRON,PER,they,-1,8
806,30454,30454,PRON,PER,she,-1,8
94,30466,30467,PROP,PER,Charles Hayter,Charles,8
115,30473,30474,PROP,PER,Captain Wentworth,Captain Wentworth,8
806,30476,30476,PRON,PER,She,-1,8
94,30482,30482,PRON,PER,his,Charles,8
115,30494,30495,PROP,PER,Captain Wentworth,Captain Wentworth,8
115,30500,30500,PRON,PER,You,Captain Wentworth,8
94,30505,30505,PRON,PER,me,Charles,8
88,30507,30507,PROP,PER,Walter,Sir Walter,8
94,30509,30509,PRON,PER,I,Charles,8
115,30511,30511,PRON,PER,you,Captain Wentworth,8
115,30515,30515,PRON,PER,your,Captain Wentworth,8
2619,30515,30516,NOM,PER,your aunt,-1,8
94,30522,30522,PRON,PER,his,Charles,8
115,30525,30526,PROP,PER,Captain Wentworth,Captain Wentworth,8
115,30530,30530,PRON,PER,he,Captain Wentworth,8
115,30535,30535,PRON,PER,himself,Captain Wentworth,8
94,30539,30540,PROP,PER,Charles Hayter,Charles,8
2402,30545,30545,NOM,PER,anybody,-1,8
806,30551,30551,PRON,PER,her,-1,8
806,30554,30554,PRON,PER,she,-1,8
806,30560,30560,PRON,PER,her,-1,8
806,30563,30563,PRON,PER,She,-1,8
806,30567,30567,PRON,PER,herself,-1,8
806,30600,30600,PRON,PER,her,-1,8
806,30608,30608,PRON,PER,her,-1,8
92,30616,30616,PROP,PER,Anne,Anne,8
961,30623,30626,NOM,PER,all the four together,-1,8
286,30642,30642,NOM,FAC,home,-1,8
92,30645,30645,PRON,PER,she,Anne,8
963,30652,30652,NOM,PER,husband,-1,8
964,30654,30654,NOM,PER,wife,-1,8
92,30658,30658,PRON,PER,she,Anne,8
122,30660,30660,PROP,PER,Louisa,Louisa,8
92,30667,30667,PRON,PER,she,Anne,8
92,30676,30676,PRON,PER,she,Anne,8
115,30687,30688,PROP,PER,Captain Wentworth,Captain Wentworth,8
965,30696,30696,PRON,PER,They,-1,8
115,30702,30702,PRON,PER,him,Captain Wentworth,8
94,30732,30733,PROP,PER,Charles Hayter,Charles,8
121,30742,30742,PROP,PER,Henrietta,Henrietta,8
965,30751,30751,PRON,PER,them,-1,8
92,30753,30753,PROP,PER,Anne,Anne,8
965,30761,30761,PRON,PER,them,-1,8
965,30764,30764,PRON,PER,they,-1,8
965,30776,30776,PRON,PER,they,-1,8
965,30779,30779,PRON,PER,themselves,-1,8
92,30782,30782,PRON,PER,She,Anne,8
92,30796,30796,PRON,PER,her,Anne,8
115,30799,30800,PROP,PER,Captain Wentworth,Captain Wentworth,8
115,30809,30809,PRON,PER,he,Captain Wentworth,8
115,30822,30822,PRON,PER,his,Captain Wentworth,8
115,30825,30825,PRON,PER,He,Captain Wentworth,8
94,30840,30841,PROP,PER,Charles Hayter,Charles,8
115,30843,30843,PRON,PER,He,Captain Wentworth,8
966,30860,30862,NOM,PER,two young women,-1,8
94,30873,30874,PROP,PER,Charles Hayter,Charles,8
967,30878,30879,NOM,FAC,the field,-1,8
94,30886,30886,PRON,PER,his,Charles,8
3,30890,30890,PROP,GPE,Uppercross,Uppercross,8
94,30897,30897,PRON,PER,He,Charles,8
95,30915,30916,PROP,PER,Mr Musgrove,Charles,8
94,30922,30922,PRON,PER,him,Charles,8
968,30924,30924,PROP,PER,Mr,Mr,8
95,30926,30927,PROP,PER,Mrs Musgrove,Charles,8
94,30944,30944,PRON,PER,his,Charles,8
94,30946,30946,PRON,PER,himself,Charles,8
93,30952,30952,PROP,PER,Mary,Mary,8
94,30958,30958,PRON,PER,he,Charles,8
121,30965,30965,PROP,PER,Henrietta,Henrietta,8
93,30968,30968,PRON,PER,her,Mary,8
2306,30968,30969,NOM,PER,her husband,-1,8
94,30977,30977,PRON,PER,him,Charles,8
92,30982,30982,PROP,PER,Anne,Anne,8
94,30987,30988,PROP,PER,Charles Hayter,Charles,8
95,30998,30999,PROP,PER,Charles Musgrove,Charles,8
115,31001,31002,PROP,PER,Captain Wentworth,Captain Wentworth,8
970,31011,31015,NOM,PER,the sisters in the Cottage,-1,8
612,31014,31015,NOM,FAC,the Cottage,-1,8
970,31022,31022,PRON,PER,they,-1,8
972,31029,31030,NOM,PER,the sisters,-1,8
907,31032,31035,NOM,FAC,the Mansion - house,-1,8
119,31046,31048,PROP,PER,the Miss Musgroves,the Miss Musgroves,8
974,31051,31053,NOM,FAC,the little grounds,-1,8
970,31066,31066,PRON,PER,they,-1,8
93,31078,31078,PROP,PER,Mary,Mary,8
970,31085,31085,PRON,PER,them,-1,8
93,31089,31089,PROP,PER,Mary,Mary,8
975,31100,31102,NOM,PER,a good walker,-1,8
93,31109,31109,PRON,PER,I,Mary,8
92,31114,31114,PRON,PER,you,Anne,8
93,31118,31118,PRON,PER,I,Mary,8
92,31128,31128,PROP,PER,Anne,Anne,8
738,31136,31138,NOM,PER,the two girls,-1,8
738,31145,31145,PRON,PER,they,-1,8
92,31185,31185,PRON,PER,She,Anne,8
93,31189,31189,PROP,PER,Mary,Mary,8
119,31208,31210,PROP,PER,the Miss Musgroves,the Miss Musgroves,8
93,31217,31217,PRON,PER,herself,Mary,8
93,31223,31223,PRON,PER,she,Mary,8
93,31231,31231,PRON,PER,her,Mary,8
477,31231,31232,NOM,PER,her sister,-1,8
738,31242,31242,PRON,PER,their,-1,8
93,31246,31246,PRON,PER,I,Mary,8
738,31251,31251,PRON,PER,they,-1,8
93,31254,31254,PRON,PER,I,Mary,8
93,31264,31264,PROP,PER,Mary,Mary,8
93,31267,31267,PRON,PER,she,Mary,8
758,31270,31270,NOM,FAC,stairs,-1,8
654,31273,31273,NOM,PER,Everybody,-1,8
93,31278,31278,PRON,PER,I,Mary,8
975,31281,31283,NOM,PER,a good walker,-1,8
654,31287,31287,PRON,PER,they,-1,8
517,31295,31295,PRON,PER,we,-1,8
654,31300,31300,PRON,PER,them,-1,8
2367,31303,31303,NOM,PER,people,-1,8
517,31312,31312,PRON,PER,us,-1,8
738,31323,31323,PRON,PER,they,-1,8
517,31328,31329,NOM,PER,the gentlemen,-1,8
517,31332,31332,PRON,PER,They,-1,8
517,31343,31343,PRON,PER,their,-1,8
517,31348,31348,PRON,PER,them,-1,8
517,31352,31352,PRON,PER,Their,-1,8
517,31371,31371,PRON,PER,they,-1,8
92,31379,31379,PROP,PER,Anne,Anne,8
92,31386,31386,PRON,PER,she,Anne,8
286,31391,31391,NOM,FAC,home,-1,8
92,31403,31403,PRON,PER,she,Anne,8
981,31415,31417,NOM,PER,the whole six,-1,8
119,31426,31428,PROP,PER,the Miss Musgroves,the Miss Musgroves,8
517,31437,31437,PRON,PER,their,-1,8
92,31440,31440,PROP,PER,Anne,Anne,8
2402,31452,31452,NOM,PER,anybody,-1,8
983,31460,31461,NOM,FAC,the fields,-1,8
92,31470,31470,PRON,PER,her,Anne,8
2419,31470,31471,NOM,PER,her brother,-1,8
269,31473,31473,NOM,PER,sister,-1,8
92,31475,31475,PRON,PER,Her,Anne,8
92,31512,31512,PRON,PER,herself,Anne,8
986,31545,31546,NOM,PER,every poet,-1,8
92,31564,31564,PRON,PER,She,Anne,8
92,31566,31566,PRON,PER,her,Anne,8
115,31590,31591,PROP,PER,Captain Wentworth,Captain Wentworth,8
119,31597,31599,PROP,PER,the Miss Musgroves,the Miss Musgroves,8
92,31601,31601,PRON,PER,she,Anne,8
92,31610,31610,PRON,PER,she,Anne,8
987,31624,31631,NOM,PER,"any young persons , on an intimate footing",-1,8
115,31637,31637,PRON,PER,He,Captain Wentworth,8
122,31642,31642,PROP,PER,Louisa,Louisa,8
121,31645,31645,PROP,PER,Henrietta,Henrietta,8
122,31647,31647,PROP,PER,Louisa,Louisa,8
115,31653,31653,PRON,PER,his,Captain Wentworth,8
122,31656,31656,PRON,PER,her,Louisa,8
477,31656,31657,NOM,PER,her sister,-1,8
122,31671,31671,PROP,PER,Louisa,Louisa,8
92,31675,31675,PRON,PER,her,Anne,8
115,31693,31694,PROP,PER,Captain Wentworth,Captain Wentworth,8
412,31701,31702,NOM,PER,the Admiral,-1,8
115,31704,31704,PRON,PER,my,Captain Wentworth,8
2369,31704,31705,NOM,PER,my sister,-1,8
2626,31707,31707,PRON,PER,They,-1,8
2627,31718,31718,PRON,PER,we,-1,8
2626,31721,31721,PRON,PER,them,-1,8
2628,31723,31726,NOM,LOC,some of these hills,-1,8
2629,31725,31726,NOM,LOC,these hills,-1,8
2626,31728,31728,PRON,PER,They,-1,8
2630,31733,31737,NOM,LOC,this side of the country,-1,8
288,31736,31737,NOM,LOC,the country,-1,8
115,31739,31739,PRON,PER,I,Captain Wentworth,8
2626,31742,31742,PRON,PER,they,-1,8
115,31757,31757,PRON,PER,I,Captain Wentworth,8
2632,31759,31759,PRON,PER,you,-1,8
115,31762,31762,PRON,PER,my,Captain Wentworth,8
2369,31762,31763,NOM,PER,my sister,-1,8
2369,31769,31769,PRON,PER,she,-1,8
2632,31783,31783,PRON,PER,You,-1,8
122,31790,31790,PRON,PER,I,Louisa,8
122,31795,31795,PROP,PER,Louisa,Louisa,8
122,31805,31805,PRON,PER,I,Louisa,8
2369,31812,31812,PRON,PER,her,-1,8
122,31816,31816,PRON,PER,I,Louisa,8
2268,31818,31819,NOM,PER,a man,-1,8
2369,31822,31822,PRON,PER,she,-1,8
412,31824,31825,NOM,PER,the Admiral,-1,8
122,31827,31827,PRON,PER,I,Louisa,8
2268,31832,31832,PRON,PER,him,-1,8
990,31838,31838,PRON,PER,us,-1,8
122,31841,31841,PRON,PER,I,Louisa,8
2268,31847,31847,PRON,PER,him,-1,8
343,31853,31854,NOM,PER,anybody else,-1,8
92,31865,31865,PRON,PER,you,Anne,8
989,31869,31869,PRON,PER,he,-1,8
989,31877,31877,PRON,PER,I,-1,8
92,31879,31879,PRON,PER,you,Anne,8
990,31887,31887,PRON,PER,them,-1,8
92,31893,31893,PROP,PER,Anne,Anne,8
92,31950,31950,PRON,PER,her,Anne,8
92,31953,31953,PRON,PER,She,Anne,8
92,31955,31955,PRON,PER,herself,Anne,8
990,31960,31960,PRON,PER,they,-1,8
991,31965,31966,NOM,FAC,another path,-1,8
43,31977,31977,PROP,GPE,Winthrop,Winthrop,8
2232,31981,31981,NOM,PER,nobody,-1,8
2232,31989,31989,NOM,PER,nobody,-1,8
92,31991,31991,PRON,PER,her,Anne,8
43,31993,31993,PROP,GPE,Winthrop,Winthrop,8
43,31998,31998,PRON,GPE,its,Winthrop,8
994,31998,31999,NOM,LOC,its environs,-1,8
995,32002,32003,NOM,PER,young men,-1,8
286,32015,32015,NOM,FAC,home,-1,8
995,32018,32018,PRON,PER,their,-1,8
997,32040,32043,NOM,FAC,the fresh made path,-1,8
998,32045,32058,NOM,PER,"the farmer counteracting the sweets of poetical despondence , and meaning to have spring",-1,8
990,32061,32061,PRON,PER,they,-1,8
999,32066,32069,NOM,LOC,the most considerable hill,-1,8
144,32073,32073,PROP,PER,Uppercross,Uppercross,8
43,32075,32075,PROP,GPE,Winthrop,Winthrop,8
1000,32088,32096,NOM,LOC,the foot of the hill on the other side,-1,8
1001,32091,32096,NOM,LOC,the hill on the other side,-1,8
43,32098,32098,PROP,GPE,Winthrop,Winthrop,8
990,32109,32109,PRON,PER,them,-1,8
1002,32111,32113,NOM,FAC,an indifferent house,-1,8
1003,32122,32130,NOM,FAC,the barns and buildings of a farm - yard,-1,8
1004,32127,32130,NOM,FAC,a farm - yard,-1,8
93,32132,32132,PROP,PER,Mary,Mary,8
93,32137,32137,PRON,PER,me,Mary,8
43,32141,32141,PROP,PER,Winthrop,Winthrop,8
93,32143,32143,PRON,PER,I,Mary,8
93,32145,32145,PRON,PER,I,Mary,8
93,32153,32153,PRON,PER,I,Mary,8
990,32155,32155,PRON,PER,we,-1,8
93,32161,32161,PRON,PER,I,Mary,8
121,32167,32167,PROP,PER,Henrietta,Henrietta,8
1005,32175,32176,NOM,PER,no cousin,-1,8
94,32177,32177,PROP,PER,Charles,Charles,8
93,32194,32194,PROP,PER,Mary,Mary,8
95,32203,32204,PROP,PER,Charles Musgrove,Charles,8
122,32214,32214,PROP,PER,Louisa,Louisa,8
122,32220,32220,PRON,PER,her,Louisa,8
477,32220,32221,NOM,PER,her sister,-1,8
94,32232,32232,PROP,PER,Charles,Charles,8
94,32242,32242,PRON,PER,his,Charles,8
94,32247,32247,PRON,PER,his,Charles,8
806,32247,32248,NOM,PER,his aunt,-1,8
94,32252,32252,PRON,PER,he,Charles,8
94,32268,32268,PRON,PER,his,Charles,8
223,32268,32269,NOM,PER,his wife,-1,8
1009,32283,32284,NOM,PER,the lady,-1,8
1009,32286,32286,PRON,PER,her,-1,8
94,32291,32291,PRON,PER,he,Charles,8
1009,32297,32297,PRON,PER,herself,-1,8
43,32304,32304,PROP,FAC,Winthrop,Winthrop,8
1009,32307,32307,PRON,PER,she,-1,8
1009,32312,32312,PRON,PER,she,-1,8
2637,32325,32326,NOM,LOC,that hill,-1,8
1009,32330,32330,PRON,PER,her,-1,8
1009,32339,32339,PRON,PER,her,-1,8
1009,32348,32348,PRON,PER,her,-1,8
1009,32356,32356,PRON,PER,she,-1,8
94,32376,32376,PROP,PER,Charles,Charles,8
94,32378,32378,PRON,PER,his,Charles,8
1010,32378,32380,NOM,PER,his two sisters,-1,8
94,32383,32383,PRON,PER,he,Charles,8
121,32385,32385,PROP,PER,Henrietta,Henrietta,8
1010,32397,32397,PRON,PER,their,-1,8
1011,32397,32398,NOM,PER,their aunt,-1,8
1012,32400,32400,NOM,PER,cousins,-1,8
1013,32403,32407,NOM,PER,the rest of the party,-1,8
1010,32410,32410,PRON,PER,them,-1,8
1014,32412,32416,NOM,LOC,the top of the hill,-1,8
1015,32415,32416,NOM,LOC,the hill,-1,8
122,32418,32418,PROP,PER,Louisa,Louisa,8
1016,32420,32425,NOM,PER,the principal arranger of the plan,-1,8
122,32430,32430,PRON,PER,she,Louisa,8
1010,32436,32436,PRON,PER,them,-1,8
1015,32439,32440,NOM,LOC,the hill,-1,8
121,32445,32445,PROP,PER,Henrietta,Henrietta,8
93,32447,32447,PROP,PER,Mary,Mary,8
122,32455,32455,PRON,PER,her,Louisa,8
115,32460,32461,PROP,PER,Captain Wentworth--,Captain Wentworth,8
93,32474,32474,PRON,PER,I,Mary,8
115,32476,32476,PRON,PER,you,Captain Wentworth,8
93,32478,32478,PRON,PER,I,Mary,8
2638,32483,32485,NOM,FAC,the house above,-1,8
93,32488,32488,PRON,PER,my,Mary,8
93,32492,32492,PRON,PER,She,Mary,8
115,32512,32512,PRON,PER,he,Captain Wentworth,8
92,32517,32517,PROP,PER,Anne,Anne,8
1018,32524,32528,NOM,LOC,The brow of the hill,-1,8
1015,32527,32528,NOM,LOC,the hill,-1,8
1010,32531,32531,PRON,PER,they,-1,8
1020,32535,32537,NOM,LOC,a cheerful spot,-1,8
122,32539,32539,PROP,PER,Louisa,Louisa,8
93,32543,32543,PROP,PER,Mary,Mary,8
93,32550,32550,PRON,PER,herself,Mary,8
93,32570,32570,PRON,PER,her,Mary,8
122,32574,32574,PROP,PER,Louisa,Louisa,8
115,32576,32577,PROP,PER,Captain Wentworth,Captain Wentworth,8
1021,32588,32592,NOM,FAC,an adjoining hedge - row,-1,8
1010,32595,32595,PRON,PER,they,-1,8
93,32607,32607,PROP,PER,Mary,Mary,8
93,32613,32613,PRON,PER,she,Mary,8
93,32616,32616,PRON,PER,her,Mary,8
122,32622,32622,PROP,PER,Louisa,Louisa,8
93,32634,32634,PRON,PER,her,Mary,8
1022,32640,32642,NOM,FAC,a better also,-1,8
93,32644,32644,PRON,PER,She,Mary,8
1010,32655,32655,PRON,PER,them,-1,8
92,32657,32657,PROP,PER,Anne,Anne,8
92,32663,32663,PRON,PER,her,Anne,8
1023,32666,32669,NOM,LOC,a dry sunny bank,-1,8
92,32679,32679,PRON,PER,she,Anne,8
1010,32684,32684,PRON,PER,their,-1,8
93,32694,32694,PROP,PER,Mary,Mary,8
93,32707,32707,PRON,PER,she,Mary,8
122,32710,32710,PROP,PER,Louisa,Louisa,8
122,32720,32720,PRON,PER,she,Louisa,8
122,32725,32725,PRON,PER,she,Louisa,8
93,32727,32727,PRON,PER,her,Mary,8
92,32729,32729,PROP,PER,Anne,Anne,8
92,32733,32733,PRON,PER,herself,Anne,8
92,32742,32742,PRON,PER,she,Anne,8
115,32746,32747,PROP,PER,Captain Wentworth,Captain Wentworth,8
122,32749,32749,PROP,PER,Louisa,Louisa,8
92,32757,32757,PRON,PER,her,Anne,8
1010,32762,32762,PRON,PER,their,-1,8
1024,32766,32772,NOM,LOC,"the rough , wild sort of channel",-1,8
1010,32778,32778,PRON,PER,They,-1,8
1010,32782,32782,PRON,PER,they,-1,8
122,32786,32786,PROP,PER,Louisa,Louisa,8
122,32794,32794,PRON,PER,She,Louisa,8
92,32807,32807,PROP,PER,Anne,Anne,8
122,32815,32815,PRON,PER,I,Louisa,8
122,32817,32817,PRON,PER,her,Louisa,8
122,32820,32820,PRON,PER,I,Louisa,8
122,32825,32825,PRON,PER,she,Louisa,8
122,32839,32839,PRON,PER,I,Louisa,8
122,32848,32848,PRON,PER,I,Louisa,8
122,32856,32856,PRON,PER,I,Louisa,8
2639,32868,32870,NOM,PER,such a person,-1,8
122,32876,32876,PRON,PER,I,Louisa,8
122,32882,32882,PRON,PER,I,Louisa,8
122,32893,32893,PRON,PER,I,Louisa,8
122,32897,32897,PRON,PER,my,Louisa,8
122,32900,32900,PRON,PER,I,Louisa,8
121,32906,32906,PROP,PER,Henrietta,Henrietta,8
121,32913,32913,PRON,PER,hers,Henrietta,8
43,32917,32917,PROP,GPE,Winthrop,Winthrop,8
121,32925,32925,PRON,PER,she,Henrietta,8
121,32940,32940,PRON,PER,She,Henrietta,8
122,32949,32949,PRON,PER,you,Louisa,8
121,32953,32953,PRON,PER,She,Henrietta,8
122,32957,32957,PRON,PER,I,Louisa,8
122,32969,32969,PRON,PER,her,Louisa,8
2640,32977,32977,PRON,PER,yours,-1,8
2640,32984,32984,PRON,PER,you,-1,8
1025,32993,32993,PRON,PER,my,-1,8
1025,33000,33000,PRON,PER,I,-1,8
2639,33005,33005,PRON,PER,him,-1,8
1025,33007,33007,PRON,PER,I,-1,8
1025,33021,33021,PRON,PER,I,-1,8
2640,33032,33032,PRON,PER,your,-1,8
2619,33032,33033,NOM,PER,your aunt,-1,8
2639,33041,33041,PRON,PER,him,-1,8
122,33044,33044,PRON,PER,her,Louisa,8
122,33069,33069,PRON,PER,she,Louisa,8
2640,33085,33085,PRON,PER,Your,-1,8
2370,33085,33086,NOM,PER,Your sister,-1,8
