symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,curb-weight,engine-type,cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,count
87,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985.0,ohc,4,92.0,2bbl,3.05,3.03,9.0,62,4800,30-40,30-40,5-10k,1.0
87,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040.0,ohc,4,92.0,2bbl,3.05,3.03,9.0,62,4800,30-40,30-40,5-10k,1.0
74,toyota,gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015.0,ohc,4,92.0,2bbl,3.05,3.03,9.0,62,4800,30-40,30-40,5-10k,1.0
77,toyota,gas,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280.0,ohc,4,92.0,2bbl,3.05,3.03,9.0,62,4800,30-40,30-40,5-10k,1.0
81,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290.0,ohc,4,92.0,2bbl,3.05,3.03,9.0,62,4800,20-30,30-40,5-10k,1.0
91,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110.0,ohc,4,92.0,2bbl,3.05,3.03,9.0,62,4800,20-30,30-40,5-10k,1.0
91,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2081.0,ohc,4,98.0,2bbl,3.19,3.03,9.0,70,4800,20-30,30-40,5-10k,1.0
91,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109.0,ohc,4,98.0,2bbl,3.19,3.03,9.0,70,4800,20-30,30-40,5-10k,1.0
91,toyota,diesel,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2275.0,ohc,4,110.0,idi,3.27,3.35,22.5,56,4500,30-40,30-40,5-10k,1.0
91,toyota,diesel,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275.0,ohc,4,110.0,idi,3.27,3.35,22.5,56,4500,30-40,40-50,5-10k,1.0
91,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2094.0,ohc,4,98.0,2bbl,3.19,3.03,9.0,70,4800,30-40,40-50,5-10k,1.0
91,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122.0,ohc,4,98.0,2bbl,3.19,3.03,9.0,70,4800,20-30,30-40,5-10k,1.0
91,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140.0,ohc,4,98.0,2bbl,3.19,3.03,9.0,70,4800,20-30,30-40,5-10k,1.0
168,toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2169.0,ohc,4,98.0,2bbl,3.19,3.03,9.0,70,4800,20-30,30-40,5-10k,1.0
168,toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2204.0,ohc,4,98.0,2bbl,3.19,3.03,9.0,70,4800,20-30,30-40,5-10k,1.0
168,toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2265.0,dohc,4,98.0,mpfi,3.24,3.08,9.4,112,6600,20-30,20-30,5-10k,1.0
168,toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2300.0,dohc,4,98.0,mpfi,3.24,3.08,9.4,112,6600,20-30,20-30,5-10k,1.0
134,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2540.0,ohc,4,146.0,mpfi,3.62,3.50,9.3,116,4800,20-30,20-30,5-10k,1.0
134,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2536.0,ohc,4,146.0,mpfi,3.62,3.50,9.3,116,4800,20-30,20-30,5-10k,1.0
134,toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2551.0,ohc,4,146.0,mpfi,3.62,3.50,9.3,116,4800,20-30,20-30,5-10k,1.0
134,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679.0,ohc,4,146.0,mpfi,3.62,3.50,9.3,116,4800,20-30,20-30,10-20k,1.0
134,toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714.0,ohc,4,146.0,mpfi,3.62,3.50,9.3,116,4800,20-30,20-30,10-20k,1.0
134,toyota,gas,std,two,convertible,rwd,front,98.4,176.2,65.6,53.0,2975.0,ohc,4,146.0,mpfi,3.62,3.50,9.3,116,4800,20-30,20-30,10-20k,1.0
65,toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326.0,ohc,4,122.0,mpfi,3.31,3.54,8.7,92,4200,20-30,30-40,5-10k,1.0
65,toyota,diesel,turbo,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480.0,ohc,4,110.0,idi,3.27,3.35,22.5,73,4500,20-30,30-40,10-20k,1.0
65,toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414.0,ohc,4,122.0,mpfi,3.31,3.54,8.7,92,4200,20-30,30-40,5-10k,1.0
65,toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414.0,ohc,4,122.0,mpfi,3.31,3.54,8.7,92,4200,20-30,30-40,10-20k,1.0
65,toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458.0,ohc,4,122.0,mpfi,3.31,3.54,8.7,92,4200,20-30,30-40,10-20k,1.0
197,toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,2976.0,dohc,6,171.0,mpfi,3.27,3.35,9.3,161,5200,10-20,20-30,10-20k,1.0
197,toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016.0,dohc,6,171.0,mpfi,3.27,3.35,9.3,161,5200,10-20,20-30,10-20k,1.0
90,toyota,gas,std,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131.0,dohc,6,171.0,mpfi,3.27,3.35,9.2,156,5200,10-20,20-30,10-20k,1.0
?,toyota,gas,std,four,wagon,rwd,front,104.5,187.8,66.5,54.1,3151.0,dohc,6,161.0,mpfi,3.27,3.35,9.2,156,5200,10-20,20-30,10-20k,1.0
122,volkswagen,diesel,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261.0,ohc,4,97.0,idi,3.01,3.40,23.0,52,4800,30-40,40-50,5-10k,1.0
122,volkswagen,gas,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209.0,ohc,4,109.0,mpfi,3.19,3.40,9.0,85,5250,20-30,30-40,5-10k,1.0
94,volkswagen,diesel,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2264.0,ohc,4,97.0,idi,3.01,3.40,23.0,52,4800,30-40,40-50,5-10k,1.0
94,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2212.0,ohc,4,109.0,mpfi,3.19,3.40,9.0,85,5250,20-30,30-40,5-10k,1.0
94,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275.0,ohc,4,109.0,mpfi,3.19,3.40,9.0,85,5250,20-30,30-40,5-10k,1.0
94,volkswagen,diesel,turbo,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319.0,ohc,4,97.0,idi,3.01,3.40,23.0,68,4500,30-40,40-50,5-10k,1.0
94,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2300.0,ohc,4,109.0,mpfi,3.19,3.40,10.0,100,5500,20-30,30-40,5-10k,1.0
?,volkswagen,gas,std,two,convertible,fwd,front,94.5,159.3,64.2,55.6,2254.0,ohc,4,109.0,mpfi,3.19,3.40,8.5,90,5500,20-30,20-30,10-20k,1.0
256,volkswagen,gas,std,two,hatchback,fwd,front,94.5,165.7,64.0,51.4,2221.0,ohc,4,109.0,mpfi,3.19,3.40,8.5,90,5500,20-30,20-30,5-10k,1.0
?,volkswagen,gas,std,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661.0,ohc,5,136.0,mpfi,3.19,3.40,8.5,110,5500,10-20,20-30,10-20k,1.0
?,volkswagen,diesel,turbo,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579.0,ohc,4,97.0,idi,3.01,3.40,23.0,68,4500,30-40,30-40,10-20k,1.0
?,volkswagen,gas,std,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563.0,ohc,4,109.0,mpfi,3.19,3.40,9.0,88,5500,20-30,30-40,10-20k,1.0
103,volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912.0,ohc,4,141.0,mpfi,3.78,3.15,9.5,114,5400,20-30,20-30,10-20k,1.0
74,volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034.0,ohc,4,141.0,mpfi,3.78,3.15,9.5,114,5400,20-30,20-30,10-20k,1.0
103,volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935.0,ohc,4,141.0,mpfi,3.78,3.15,9.5,114,5400,20-30,20-30,10-20k,1.0
74,volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042.0,ohc,4,141.0,mpfi,3.78,3.15,9.5,114,5400,20-30,20-30,10-20k,1.0
103,volvo,gas,turbo,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045.0,ohc,4,130.0,mpfi,3.62,3.15,7.5,162,5100,10-20,20-30,10-20k,1.0
74,volvo,gas,turbo,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157.0,ohc,4,130.0,mpfi,3.62,3.15,7.5,162,5100,10-20,20-30,10-20k,1.0
95,volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952.0,ohc,4,141.0,mpfi,3.78,3.15,9.5,114,5400,20-30,20-30,10-20k,1.0
95,volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049.0,ohc,4,141.0,mpfi,3.78,3.15,8.7,160,5300,10-20,20-30,10-20k,1.0
95,volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012.0,ohcv,6,173.0,mpfi,3.58,2.87,8.8,134,5500,10-20,20-30,20-30k,1.0
95,volvo,diesel,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217.0,ohc,6,145.0,idi,3.01,3.40,23.0,106,4800,20-30,20-30,20-30k,1.0
95,volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062.0,ohc,4,141.0,mpfi,3.78,3.15,9.5,114,5400,10-20,20-30,20-30k,1.0
